Application Date,Planned Completion Date,Facility Name,Facility Owner,Operation Type,Permit Number,Project Type,School Address,School Level,School Name,School Website,Status,URL,Description,Planned Start Date
8/5/19,9/30/19,BLANKENBURG ES,,Renovation,AN19-000798,Major Removal Project,,Elementary/Middle,Rudolph Blankenburg School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80209050&permit_ID=5837147,"BLANKENBURG ES - REM 8 LF ACPI/ACPFI IN CLASSROOM 30, 25 LF ACPI/ACPFI IN CLASSROOM 30 CLOSET #2, 8 LF ACPFI IN HALL ALONG GYM, 14 LF ACPI/ACPFI IN 326, 6 LF ACPI IN 324, 12 LF ACPI IN 209, 24 LF ACPI/ACPFI IN 208 CLOSET, 27 LF ACPI/ACPFI IN 211 CLOSET, 32 LF ACPI/ACPFI IN 215 CLOSET, 16 LF ACPI/ACPFI IN 215, 14 LF ACPI/ACPFI IN 212 CLOSET, 31 LF ACPI/ACPFI IN 212, 16 LF ACPI/ACPFI IN 105, 33 LF ACPI/ACPFI IN K4.",8/6/19
8/5/20,8/15/20,ADAIRE ES,,Renovation,AN20-000716,Incidental Removal Project,,Elementary/Middle,Alexander Adaire School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82273647&permit_ID=7423675,ADAIRE ES - REM 3 SF OF VAT IN HALL FROM 104 TO 109.,8/7/20
8/5/20,8/15/20,COMLY ES,,Renovation,AN20-000717,Minor Removal Project,,Elementary,Watson Comly School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82273723&permit_ID=7423724,"COMLY ES - REM 2 SF OF VAT & MASTIC IN HALLWAY h29 BY bOY'S & gIRL'S rESTROOMS, REM 14 LF ACPI/ACPFI IN STAIRWELL S22 NEAR REAR OF AUDITORIUM.",8/7/20
8/5/20,8/17/20,CENTRAL HS,,Renovation,AN20-000712,Incidental Removal Project,,High,Central High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82272960&permit_ID=7423142,CENTRAL HS - REM 1 SF OF DEBRIS IN IMC/LIBRARY.,8/6/20
8/5/20,8/15/20,SHAWMONT ES,,Renovation,AN20-000714,Minor Removal Project,,Elementary/Middle,Shawmont School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82273181&permit_ID=7423330,"SHAWMONT ES - REM 3 LF ACPFI IN HALLWAY H001 FROM BAND ROOM AREA TO STORAGE ROOM, CAP <1F LF ACPFI IN GYMNASIUM 11.",8/7/20
8/6/18,8/31/18,FRANKFORD HS,,Renovation,AN18-000939,Minor Removal Project,,High,Frankford High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78575844&permit_ID=4569735,"FRANKFORD HS - REM 180 SF OF VAT in CAFE B, REM 1 SF DEBRIS ROOM 003, 1 SF OF DEBRIS IN ROOM 005, 1 SF OF DEBRIS IN BASEMENT HALL, REM 5 LF ACPI IN GROUND FLR HALL 004, <1 LF ACPFI IN BASEMENT AHU/MECHANICAL ROOM B028, 10 LF ACPI IN 2ND FLOOR BALCONY OLD WING ACROSS 212, CAP 1 LF ACPI IN BASEMENT BE OFFICE, CAP 3 LF ACPI IN BASEMENT NORTH HALL OUTSIDE BE OFFICE.",8/7/18
8/6/21,10/1/21,BRYANT PROMISE ACADEMY,,Renovation,AN21-000857,Minor Removal Project,,Elementary/Middle,William C. Bryant School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913367&permit_ID=8874914,"BRYANT PROMISE ACADEMY - REM 20 LF ACPI IN STORAGE 205B, REM 2 LF ACPFI IN BOY'S RESTROOM 314A ACROSS 203, REM 18 SF OF VDC IN MECHANICAL ROOM 209, REM 13 SF OF VDC IN 103 RESTROOM, REM 4 SF OF VDC IN NURSES OFFICE RESTROOM 110B, REM 15 SF OF VDC IN BOILER ROOM 010B.",8/9/21
8/6/21,8/30/21,KENSINGTON HS,,Renovation,AN21-000858,Minor Removal Project,,High,Kensington High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913378&permit_ID=8874921,KENSINGTON HS - CAP 7 LF ACPI IN CLASSROOM 002.,8/9/21
8/6/21,8/30/21,KEY ES,,Renovation,AN21-000856,Incidental Removal Project,,Elementary,Francis S. Key School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913354&permit_ID=8874903,KEY ES - REM <1 LF ACPFI IN STAFF RESTROOM 003B.,8/9/21
8/6/21,8/30/21,J MARSHALL ES,,Renovation,AN21-000860,Incidental Removal Project,,Elementary,John Marshall School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913415&permit_ID=8874944,J MARSHALL ES - CAP 1 LF ACPI IN NURSE OFFICE 100E.,8/9/21
8/6/21,8/30/21,COMEGYS ES,,Renovation,AN21-000861,Minor Removal Project,,Elementary/Middle,Benjamin B. Comegys School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913432&permit_ID=8874961,"COMEGYS ES - REM 7 LF ACPFI IN PRINCIPALS OFFICE CLOSET PIPE CHASE, CAP 3 LF ACPFI IN 213, CAP <1 LF ACPFI IN 209.",8/9/21
8/6/21,8/30/21,HARDING MS,,Renovation,AN21-000859,Incidental Removal Project,,Middle,Warren G. Harding School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913392&permit_ID=8874932,HARDING MS - CAP <1 LF ACPI IN 301 CLOSET.,8/9/21
8/6/21,9/14/21,POWEL ES,,Renovation,AN21-000862,Incidental Removal Project,,Elementary,Samuel Powel School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83913451&permit_ID=8874973,POWEL ES - CAP <1 LF ACPFI IN TACHERS LOUNGE/DINING RESTROOM.,8/31/21
8/6/21,8/27/21,William W. Bodine High School,,Renovation,AN21-000863,Major Removal Project,,High,William W. Bodine High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83914331&permit_ID=8875639,ACPI & ACPFI,8/10/21
8/7/20,9/28/20,SHEPPARD ES,,Renovation,AN20-000722,Major Removal Project,,Elementary,Isaac A. Sheppard School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82277230&permit_ID=7425791,"SHEPPARD ES - REM 5 LF ACPFI & CAP 1 LF ACPFI IN CAFETERIA 044, REM 2 LF ACPFI IN NORTH HALL OUTSIDE CAFE, 3 LF ACPFI IN IMC, <1 LF ACPFI IN 103, REM 1 LF ACPFI & CAP <1 LF ACPFI IN 103 REAR CLOSET, REM 1 LF ACPFI IN 101 CLOSET, 1 LF ACPFI IN 200 CLOSET, <1 LF ACPFI IN COMPUTER LAB 201 CLOSET, <1 LF ACPFI IN 205, 2 LF ACPFI IN NORTH STAIRWELL BETWEEN 103 & MAIN OFFICE, CAP <1 LF ACPFI IN 204, CAP 2 LF ACPFI IN 206, 1 LF ACPFI IN UTILITY CLOSET 100 E, <1 LF ACPFI IN BOY'S SW RESTRROOM 1A, REM 8 L",8/10/20
8/8/18,8/26/18,JH MOORE ES,,Renovation,AN18-000955,Major Removal Project,,Elementary,J. Hampton Moore School,,Final Documentation Overd,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78580886&permit_ID=4572203,"JH MOORE ES - REM 25 SF OF VAT IN 201, 6 LF ACPI IN HALL OUTSIDE 214, 6 LF ACPI IN HALL OUTSIDE 2ND FLOOR MECHANICAL ROOM, 14 LF ACPI IN VIC EPRINCIPALS CLOSET, 30 LF ACPI IN 102.",8/10/18
8/8/19,9/30/19,HACKETT ES,,Renovation,AN19-000811,Non Friable Removal,,Elementary,Horatio B. Hackett School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80215999&permit_ID=5840980,"HACKETT ES - REM 1 LF ACPFI IN BOILER ROOM, CAP 1 LF ACPI IN GYM FAN ROOM, CAP 1 LF ACPI IN BOILER ROOM, REM 15 SF OF VAT IN CLOSET BY 106 DOOR, 15 SF OF VAT IN CLASSROOM 112 ALONG WALL BY HALL.",8/9/19
8/8/19,3/15/20,NEBINGER ES,,Renovation,AN19-000810,Major Removal Project,,Elementary/Middle,George W. Nebinger School,,Issued-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80215917&permit_ID=5840920,"NEBINGER ES - REM 10 LF ACPI IN 203, REM 10 LF ACPI IN 204A TEACHERS LOUNGE, REM 60 SF OF VAT IN 103, CAP 4 LF ACPI IN SMALL KITCHEN IN GYM, CAP 5 LF ACPI IN BOILER ROOM STORAGE, CAP 3 LF ACPI IN FAN ROOM, CAP 2 LF ACPI IN KITCHEN, REM 12 LF ACPI IN MAIN OFFICE, REM 22 LF ACPI IN PRINCIPALS OFFICE, ""REM 12 LF ACPI in 103 Restroom"", CAP <1 lf ACPI in 203, 105 RR, Main Office, CAP 12 lf (5 locations) & 3 lF ACPFI (3 locations) in Hall from B1 Art Room to Custodial Closet by Exit Door, CAP 8 LF ACP",8/9/19
8/9/18,8/24/18,PARKWAY CENTER CITY HS,,Renovation,AN18-000956,Minor Removal Project,,High,Parkway Center City Middle College High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78582193&permit_ID=4572750,PARKWAY CENTER CITY HS - REM 11 LF ACPI IN CLASSROOM 102.,8/10/18
8/9/18,8/24/18,MIFFLIN ES,,Renovation,AN18-000957,Incidental Removal Project,,Elementary/Middle,Thomas Mifflin School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78582270&permit_ID=4572803,"MIFFLIN ES - REM 20 SF OF VAT IN CLASSROOM 101, CAP 1 LF ACPFI & 1 LF ACPI IN BASEMETN BOY'S RESTROOM IN HALLWAY.",8/10/18
8/9/18,8/24/18,GIDEON ES,,Renovation,AN18-000963,Non Friable Removal,,Elementary/Middle,Edward Gideon School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78582927&permit_ID=4573160,GIDEON ES - REM 1000 SF OF VAT IN ROOM 103 - HEALTH SUITE.,8/10/18
8/9/18,8/24/18,FITZPATRICK ES,,Renovation,AN18-000964,Non Friable Removal,,Elementary/Middle,A.L. Fitzpatrick School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78583029&permit_ID=4573227,FITZPATRICK ES - REM 6 SF OF VAT IN MUSIC ROOM B10.,8/10/18
8/9/19,10/31/19,Andrew Hamilton School,,Emergency Renovation,AN19-000813,Major Removal Project,,Elementary/Middle,Andrew Hamilton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80218961&permit_ID=5842529,"Emergency Decontamination of 2 areas in Andrew Hamilton School, then abate textured ACM ceiling soffit. Waiver of 10 day Notification period - work to begin 8/13/19. CES to set up 3 stage decon: Establish negative air: Install criticals: Clean the space with HEPA Vacuums and Wet Wipes (1680 SF each in areas 1 and in Areas 2): Install poly on walls: Then CES will abate the 30 SF (in each area) of Textured ACM Ceiling at Soffit under full Containment in Area 1 & Area 2 Major project due to th",8/13/19
8/10/21,8/30/21,KIRKBRIDE ES,,Renovation,AN21-000877,Minor Removal Project,,Elementary/Middle,Eliza B. Kirkbride School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83949791&permit_ID=8909612,"KIRKBRIDE ES - CAP 3 LF ACPI & 4 LF ACPI IN GYM STORAGE ROOM 2, REM 6 LF ACPI IN 210 CLOSET.",8/12/21
8/10/21,8/30/21,ONE BRIGHT RAY - ELMWOOD CAMPUS,,Renovation,AN21-000874,Minor Removal Project,,High,One Bright Ray - Elmwood Campus,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83949443&permit_ID=8909344,"ONE BRIGHT RAY - ELMWOOD CAMPUS - REM 3 LF ACPFI & 96 SF OF VAT IN MECHANCIAL ROOM IN 101, REM <1 LF ACPFI IN 103, REM 1 LF ACPFI IN FRONT ENTRANCE CORRIDOR, REM 1 LF ACPFI IN WOMEN'S RESTRROM 4 IN FRONT ENTRANCE CORRIDOR.",8/12/21
8/10/21,8/30/21,COOKE ES,,Renovation,AN21-000875,Minor Removal Project,,Elementary/Middle,Jay Cooke School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83949559&permit_ID=8909446,"COOKE ES - REM 2 LF ACPI IN ROOM 322, REM 4 LF ACPI IN 316.",8/12/21
8/10/21,8/30/21,SOUTH PHILADELPHIA HS,,Renovation,AN21-000878,Minor Removal Project,,High,South Philadelphia High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83950433&permit_ID=8910107,"SOUTH PHILA HS - CAP 7 LF ACPI IN ROBOTICS CLASSROOM, rem 2 LF ACPI & CAP 4 LF ACPI IN FORMER CHILDCARE KITCHEN MAIN AREA.",8/12/21
8/10/21,8/30/21,HAMILTON ES,,Renovation,AN21-000880,Incidental Removal Project,,Elementary/Middle,Andrew Hamilton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83950521&permit_ID=8910165,HAMILTON ES - CAP <1 LF ACPI IN 129 STORAGE CLOSET B.,8/9/21
8/10/21,9/17/21,ROBESON HS,,Renovation,AN21-000876,Incidental Removal Project,,High,Paul Robeson High School for Human Services,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83949655&permit_ID=8909512,ROBESON HS - REM 1 LF ACPFI IN GYM OFFICE 112.,8/12/21
8/10/21,8/30/21,FINLETTER ES,,Renovation,AN21-000882,Minor Removal Project,,Elementary/Middle,Thomas K. Finletter School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83950625&permit_ID=8910232,FINLETTER ES - REM 18 LF ACPI & 4 LF ACPFI IN BASEMENT CAFE/GYM.,8/12/21
8/11/16,8/12/16,Solis Cohen Elementary School,,Renovation,AN16-001209,Minor Removal Project,,Elementary,Solomon Solis-Cohen School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76320786&permit_ID=3084424,Removal of 50 sf of VAT from Room 27 and 50sf of main lobby,8/12/16
8/11/20,9/14/20,POLLOCK ES,,Renovation,AN20-000735,Minor Removal Project,,Elementary,Robert B. Pollock School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82299722&permit_ID=7439222,"POLLOCK ES - CAP 15 SF OF EXTERIOR BOILER INSULTION, 8 SF OF TANK INSULATION & 5 SF OF DUCT INSULATION IN BOILER ROOM 19, CAP 1 SF OF TRANSITE STALLS IN MEN'S RESTROOM ACROSS CLASSROOM 9, WOMEN'S RESTROOM 006A ACROSS BOILER ROOM DOOR, MENS RESTROOM ACROSS PRINCIPALS OFFICE, REM 3862 SF OF VAT IN CAFETERIA, 67 SF OF VAT IN HALLWAY h6, 18 SF OF VAT IN hALLWAY h8, 30 SF OF VAT IN NURSE'S OFFICE RESTROOM, 38 SF OF VAT IN AUDITORIUM, 3 SF OF VAT IN 112, 3 SF OF VAT IN HALLWYAY H2, 3 SF OF VAT IN HALL",8/13/20
8/11/21,8/19/21,James Ludlow ES,,Renovation,AN21-000886,Non Friable Removal,,Elementary/Middle,James R. Ludlow School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83964195&permit_ID=8923091,James Ludlow ES,8/3/21
8/12/19,8/20/19,BARTRAM HS,,Renovation,AN19-000820,Minor Removal Project,,High,John Bartram High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80230687&permit_ID=5851903,"BARTRAM HS - CAP 6 LF ACPI IN GIRLS LOCKER LANUDRY ROOM PIPECHASE, 2 LF ACPI/ACPFI IN 1ST FLOOR CAGED STORAGE ROOM INSIDE GIRLS GYM, REM 1 LF ACPFI IN OFFICE 128, 1 LF ACPFI IN MAIN OFFICE, CAP 1 LF ACPI IN STAIRWELL BESIDE CAGED STORAGE ROOM INSDIE BOYS GYM 135C, 1 LF ACPI/ACPFI IN OFFICE INSIDE BOY'S GYM, <1 LF ACPIF IN STORAGE ROOM INSIDE C5, 1 LF ACPI IN GIRLS RESTROOM ACROSS C1, 1 LF ACPI IN BOY'S RESTROOM ACROSS C1, 1 LF ACPI IN OFFICE B-C ACROSS GIRLS LOCKER ROOM, 1 LF ACPI/ACPFI IN OFFIC",8/13/19
8/12/21,8/17/21,Roxborough High School,,Renovation,AN21-000890,Non Friable Removal,,High,Roxborough High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83965947&permit_ID=8924809,Non-Friable Floor Tile,8/13/21
8/13/18,10/12/18,MOTIVATION HS (OLD TURNER MS),,Renovation,AN18-000974,Non Friable Removal,,High,Motivation High School,,Approved-ABS,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78589025&permit_ID=4575954,"MOTIVATION HS (OLD TURNER MS) - REM 60 SF OF VAT IN AUDITORIUM ENTRANCE VESTIBULE, 170 SF OF VAT IN STAGE ENTRANCE VESTIBULE-MUSIC SUITE SIDE, 60 SF OF VAT IN AUDITORIUM ENTRANCE VESTIBULE - ART STREET SIDE.",9/13/18
8/13/18,9/29/18,BREGY ES,,Renovation,AN18-000973,Minor Removal Project,,Elementary/Middle,F. Amedee Bregy School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78589011&permit_ID=4575946,"BREGY ES - REM 3 SF OF ROPE & 3 SF OF PACKING FROM BOILER #2, REM 50 SF OF vat IN LUNCHROOM AT REAR REFRIGERATOR, REM 4 SF OF VAT IN BASEMENT LUNCHROOM.",8/14/18
8/13/18,8/17/18,Bregy Elementary School,,Renovation,AN18-000972,Minor Removal Project,,Elementary/Middle,F. Amedee Bregy School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78585812&permit_ID=4574540,Removal of ACM (2) each pipe risers 1st Floor Hallway,8/14/18
8/13/19,9/1/19,LAWTON ES,,Renovation,AN19-000821,Small Removal Project,,Elementary,Henry W. Lawton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80233077&permit_ID=5853133,LAWTON ES - REM 3 LF ACPFI IN NURSE'S OFFICE.,8/14/19
8/13/19,9/8/19,TILDEN MS,,Renovation,AN19-000825,Major Removal Project,,Middle,William T. Tilden School,,Final Documentation Overd,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80233555&permit_ID=5853438,"TILDEN MS - REM 36 LF ACPI/ACPFI IN 103, 12 LF ACPI IN HALL TO FAN ROOM, 24 LF ACPI IN HALL FROM 101 TO 111, 25 LF ACPI/ACPFI IN STAIRWLL ADJ ELEVATOR, CAP 6 LF APCI IN 4TH FLOOR HALL ADJ KITCHEN.",8/14/19
8/13/20,8/31/20,Sayre High School,,Renovation,AN20-000742,Major Removal Project,,High,William L. Sayre High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82305896&permit_ID=7442913,Containment. Removal of pipe insulation using glove bag method.,8/17/20
8/14/17,9/30/17,TAGGART ES,,Renovation,AN17-000983,Minor Removal Project,,Elementary/Middle,John H. Taggart School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77197011&permit_ID=3665734,TAGGART ES - REM 3 SF OF ROPE & 3 SF OF PACKING FROM BOILER #2.,8/15/17
8/14/17,10/20/17,SAUL HS,,Renovation,AN17-000982,Minor Removal Project,,High,Walter B. Saul High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77196970&permit_ID=3665717,"SAUL HS - REM 3 SF OF ROPE & 3 SF OF PACKING FROM BOILER #1, REM 3 lf acpfi IN CLASSROOM 21A MARKET CLOSET, REM 1 LF ACPFI IN NEW WING LOBBY AT CEILING, REM <1 LF ACPFI IN COW STALLS, REM <1 LF ACPFI IN COW BARN PUMP ROOM, ""REM 500 SF of VAT&Mastic in Gym Building Former Office, REM 550 SF of VAT&Mastic in Gym Building Hallway.""",8/15/17
8/15/17,9/1/17,HAMILTON ES,,Renovation,AN17-000989,Minor Removal Project,,Elementary/Middle,Andrew Hamilton School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77199145&permit_ID=3666804,"HAMILTON ES - REM 40 SF OF GLUE DOTS IN IMC ROOM 313, REM 7 LF ACPFI & 4 sf DEBRIS IN 3RD FLOOR HALL, CAP 4 LF ACPI IN BOIELR ROOM, REM 2 LF ACPI IN STORAGE NEXT TO ROOM 101, REM 15 SF OF VAT IN ROOM 130, 3 SF OF VAT IN 2ND FLOOR STORAGE #4 BY 223, 4 SF OF VAT IN ROOM 322.",8/16/17
8/15/17,9/1/17,HILL-FREEDMAN WORLD ACADEMY @ LEEDS CAMPUS,,Renovation,AN17-000990,Minor Removal Project,,Middle/High,Hill-Freedman World Academy,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77199339&permit_ID=3666949,"HILL-FREEDMAN WORLD ACADEMY @ LEEDS CAMPUS: REM <1 LF ACPFI & 1 SF OF DEBRIS IN JANITOR'S CLOSET, 30 LF ACPI IN STORAGE ROOM/PIPECHASE BETWEEN GIRLS RR & STAIR 3, REM 50 SF OF VAT IN AUDITORIUM, RMEM <1 LF ACPI IN 226B/226C CLOSETS IN WIGHT ROOM BY GYM, REM 15 SF OF VAT IN ROOM 107, 35 SF OF VAT IN 1ST FLOOR HALL BY STAIR 4, 50 SF OF VAT IN ROOM ""212"", 25 SF OF VAT IN ROOM ""208"", 15 SF OF VAT IN ROOM 125 KITCHEN AREA & 20 SF OF VAT IN ROOM 117.",8/16/17
8/15/19,10/12/19,CROSSAN ES,,Renovation,AN19-000840,Minor Removal Project,,Elementary,Kennedy C. Crossan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80242721&permit_ID=5857080,"CROSSAN ES - REM 15 LF ACPI IN CLASSROOM 3, CAP 2 LF ACPI IN CLASSROOM 2, REM 8 LF ACPI IN OFFICE IN REAR OF IMC CLASSROOM, CAP 3 LF APCI IN BE OFFICE / LARGE STORAGE NEXT TO BOILER ROOM.",8/16/19
8/15/19,11/30/19,SULLIVAN ES,,Renovation,AN19-000837,Minor Removal Project,,Elementary,James J. Sullivan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80242567&permit_ID=5856977,"SULLIVAN ES - REM 1000 SF OF VAT IN IMC, REM 22 LF ACPI IN GAS METER ROOM IN IMC, REM <1 LF ACPFI IN CAFE/GYM, CAP 1 LF ACPI IN 1ST FLOOR STAIRWELL NEAR MEN'S RESTROOM, 1 LF ACPI IN 201, REM 12 LF ACPI IN OFFICE 311, ""REM 2 LF ACPFI in Boiler Room"".",8/16/19
8/15/19,10/12/19,MARTHA WASHINGTON ES,,Renovation,AN19-000838,Major Removal Project,,Elementary/Middle,Martha Washington School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80242640&permit_ID=5857020,"MARTHA WASHINGTON ES - REM 10 LF ACPI IN 109, 16 LF ACPI IN STAIRWELL ACROSS 104 BY PRINCIPAL OFFICE, 9 LF ACPI IN 309, 28 LF ACPI IN CAFETERIA, 30 LF ACPI IN GYM, 21 LF ACPI IN LAUNDRY ROOM IN MUSIC ROOM, 30 LF ACPI IN HALL H01 ON BOY'S RESTROOM SIDE, 30 LF ACPI IN HALL H02 ON GIRLS RESTROOM SIDE.",8/16/19
8/15/19,10/12/19,HARDING MS,,Renovation,AN19-000841,Minor Removal Project,,Middle,Warren G. Harding School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80242856&permit_ID=5857154,"HARDING MS - CAP 2 SF OF VIBRATION DAMPER CLOTH IN LOWER FAN ROOM, REM 4 SF OF VAT IN WOMEN'S RESTROOM NEXT TO 216/217, 1 SF OF GLUE DOTS IN 218, REM 6 LF ACPI IN OFFICE 213 CLOSET, REM 2 SF OF VAT IN OFFICE 213, 8 SF OF VAT IN NURSE'S OFFICE AREA, 40 SF OF VAT IN 311 & 312 BY RADIATORS, 20 SF OF VAT IN 211 BY RADIATORS, ""REM 60 SF of VAT in Women's Restroom next to Classroom 319 and 4 SF of VAT in Room 317 by entrance.""",8/16/19
8/16/17,8/23/17,Mayfair Elementary School,,Renovation,AN17-000997,Minor Removal Project,,Elementary/Middle,Mayfair School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77201540&permit_ID=3668009,Removal of Pipe Insulation via Glove Bag method.,8/21/17
8/16/18,8/24/18,BARTRAM HS,,Renovation,AN18-000993,Minor Removal Project,,High,John Bartram High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78604766&permit_ID=4584748,BARTRAM HS - REM 10 LF ACPI IN 2ND FLOOR HALL OUTSIDE 224.,8/17/18
8/16/18,8/24/18,HOUSTON ES,,Renovation,AN18-000992,Minor Removal Project,,Elementary/Middle,Henry H. Houston School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78604727&permit_ID=4584730,HOUSTON ES - REM 10 LF ACPI IN NEW WING-TANK STORAGE CLOSET.,8/17/18
8/16/19,9/2/19,LONGSTRETH ES,,Renovation,AN19-000845,Non Friable Removal,,Elementary/Middle,William C. Longstreth School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=80245285&permit_ID=5858497,"LONGSTRETH ES - REM 600 SF OF VAT IN 113, 550 SF OF VAT IN 111, 20 SF OF GLUE DOTS IN 201, 20 SF OF GLUE DOTS IN HALL H10 OUTSDIE GYM & AUDITORIUM, 20 SF OF GLUE DOTS IN HALL H10 OUTSIDE CLASSROOMS 111 & 112, 2 SF OF VAT IN HALL AT RIGHT STAGE EXIT.",8/19/19
8/16/21,9/8/21,DOBSON ES,,Renovation,AN21-000900,Incidental Removal Project,,Elementary/Middle,James Dobson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83973470&permit_ID=8929833,"DOBSON ES - CAP <1 LF ACPFI IN SCHOOL PSYCHOLOGIST OFFICE 100, CAP <1 LF ACPI IN 103 & MAIN OFFICE 105.",8/18/21
